,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Case Number.1,Case Number.2,Month
3650,1964-12-10,1964.0,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Buka Island,,M,,Thigh severely lacerated,N,,,,,December
3651,1964-12-10,1964.0,Boat,AUSTRALIA,New South Wales,Port Jervis,Fishing,,,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,10h30,4.6 m [15'] shark,,,December
3652,1964-12-09,1964.0,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Off Sing Village, Buka Island","Canoe swamped, swimming back to canoe",M,28,Survived,N,Late afternoon,2.1 m [7'] shark,1964-12-09,1964-12-09,December
3653,1964-12-06,1964.0,Unprovoked,KENYA,Coast Province,"Kilindini Harbor, Mombasa",Fishing with hand line tied to wrist & was pulled into the water,M,10,FATAL,Y,,,1964-12-06,1964-12-06,December
3654,1964-11-29,1964.0,Unprovoked,AUSTRALIA,Victoria ,Lady Julia Percy Island,Free diving with seals,M,25,Left leg severed,N,14h30,"White shark, 2.4 m [8'] ",1964-11-29,1964-11-29,November
3655,1964-11-18,1964.0,Unprovoked,AUSTRALIA,Queensland,"Fingal Beach, near Tweed Heads",Swimming out to rescue swimmers in difficulty,M,29,FATAL,Y,13h30,,1964-11-18,1964-11-18,November
3656,1964-11-13,1964.0,Provoked,AUSTRALIA,New South Wales,"North Solitary Island, 8 miles from Wolli","Filming underwater, carrying powerhead",M,25,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,,"White shark, 2.7 m [9'1""], 750-lb ",1964-11-13,1964-11-13,November
3657,1964-11-05,1964.0,Boat,USA,Puerto Rico,,Longline fishing,,,"No injury to occupant, shark bit propeller of outboard motor",N,18h00,Mako shark,1964-11-05,1964-11-05,November
3658,1964-10-31,1964.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,Surf fishing,M,,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,,,1964-10-31,1964-10-31,October
3659,1964-10-25,1964.0,Invalid,USA,Florida,"Near US Air Force Base at Elgin, Okaloosa County",Boat Miss Becky  sank 12 miles from shore,,,"No injury to occupants, drove sharks away with paddles",,Night,Invalid,1964-10-25,1964-10-25,October
3660,1964-10-04,1964.0,Unprovoked,AUSTRALIA,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth","Surfing, but swimming to his board",M,19,Abrasions & 11 teethmarks on right lower leg,N,09h30,"Grey nurse shark, 1.8 m [6']",1964-10-04,1964-10-04,October
3661,1964-09-27,1964.0,Invalid,,,,Spearfishing,M,24,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",,11h00,Shark involvement prior to death was not confirmed,1964-09-27,1964-09-27,September
3662,1964-09-20,1964.0,Unprovoked,TAIWAN,Northern Taiwan,"Tamsui Beach, Taipai",Swimming,M,32,FATAL,Y,14h00,,1964-09-20,1964-09-20,September
3663,1964-09-07,1964.0,Unprovoked,TAIWAN,Northern Taiwan,Tamsui Beach,Swimming,M,20,Right thigh &  elbow bitten,N,13h30,1.8 m [6'] shark,1964-09-07,1964-09-07,September
3664,1964-08-26,1964.0,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",Swimming,M,14,Bruised & abraded ankle,N,14h30,,1964-08-26,1964-08-26,August
3665,1964-08-23,1964.0,Unprovoked,MEXICO,Guerrero,Acapulco,Floating on his back in an inner tube,M,19,Right thigh bitten,N,14h00,1.8 to 2.4 m [6' to 8'] shark,1964-08-23,1964-08-23,August
3666,1964-08-22,1964.0,Invalid,USA,Florida,5 miles south of Palm Beach,Spearfishing / free diving,M,18,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,,11h30,Invalid,1964-08-22,1964-08-22,August
3667,1964-08-21,1964.0,Unprovoked,USA,Florida,"Panama City, Bay County",Swimming,M,,"No injury,  bumped repeatedly",N,11h30,3' shark,1964-08-21,1964-08-21,August
3668,1964-08-08,1964.0,Unprovoked,USA,Florida,"2 miles off Jupiter, Palm Beach County",Spearfishing using scuba,M,28,"No injury, shark hit scuba tank",N,12h00,Hammerhead shark,1964-08-08,1964-08-08,August
3669,1964-08-03,1964.0,Unprovoked,JAPAN,Okayama Prefecture,Saidaiji,Swimming,M,12,"Leg bitten, surgically amputated",N,,,1964-08-03,1964-08-03,August
3670,1964-08-01,1964.0,Unprovoked,PANAMA,San Blas,Off Achutuppu Island near Ailigandi,Free diving / Spearfishingat edge of reef,M,21,Foot lacerated,N,,Less than 1.2 m [4'],,,August
3671,1964-07-27,1964.0,Provoked,USA,Puerto Rico,,,M,22,Arm lacerated by speared shark PROVOKED INCIDENT,N,11h00,Nurse shark,1964-07-27,1964-07-27,July
3672,1964-07-16,1964.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Island Rock,Searching for remains of  Dr. Marais,M,30,"No injury, shark charged & impaled itself on spear",N,,Zambesi shark,1964-07-16,1964-07-16,July
3673,1964-07-15,1964.0,Invalid,USA,Connecticut,"3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream","Yacht Gooney Bird foundered, 4 survivors on raft",,,"No injury, no attack; sharks ate their food tied to a line over the side of the raft",,,Invalid,1964-07-15,1964-07-15,July
3674,1964-07-10,1964.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Island Rock,Spearfishing ,M,52,FATAL,Y,,,1964-07-10,1964-07-10,July
3675,1964-07-08,1964.0,Provoked,USA,Florida,"Palm Beach, Palm Beach County",Tagging sharks,M,,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",N,,white shark,1964-07-08,1964-07-08,July
3676,1964-07-01,1964.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,A reef off New Hanover (Northern end),Standing / fishing,M,,"FATAL, leg severed ",Y,,,,,July
3677,1964-07-01,1964.0,Boat,PAPUA NEW GUINEA,New Ireland Province,Southern end,canoeing,,,"No injury to occupant, canoe struck several times by shark ",N,,,,,July
3678,1964-06-29,1964.0,Sea Disaster,BERMUDA,Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),,,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Y,,,,,June
3679,1964-06-28,1964.0,Invalid,USA,New York,Long Island,Attempting to swim across the Atlantic Ocean,F,29,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",,Night,Shark involvement prior to death was not confirmed,1964-06-28,1964-06-28,June
3680,1964-06-24,1964.0,Boat,USA,California,"Long Beach, Los Angeles County",Fishing,,,"No injury to occupants, shark crashed through windshield of boat",N,,2.1 m [7'] shark,1964-06-24,1964-06-24,June
3681,1964-06-17,1964.0,Boat,PAPUA NEW GUINEA,New Britain,Near Rabaul,Fishing,M,,"No injury to occupant, shark lifted canoe's outrigger",N,,2.4 m [8'] shark,1964-06-17,1964-06-17,June
3682,1964-06-23,1964.0,Unprovoked,FIJI,Lau Group,"Tovu, Totoya Island",Spearfishing,M,23,Buttocks bitten,N,,,1964-06-23,1964-06-23,June
3683,1964-06-02,1964.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Swimming,M,40,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",,>17h00,Shark involvement prior to death was not confirmed,1964-06-02,1964-06-02,June
3684,1964-05-30,1964.0,Unprovoked,PANAMA,Caribbean Coast,,Standing,M,47,No injury,N,,Lemon shark ,1964-05-30,1964-05-30,May
3685,1964-05-08,1964.0,Unprovoked,FIJI,Vita Levu,Naviti,Spearfishing,M,35,"FATAL, buttocks, lower abdomen & genitalia removed  ",Y,11h30,Tiger shark,1964-05-08,1964-05-08,May
3686,1964-05-01,1964.0,Unprovoked,PANAMA,San Blas Islands,"Achutupu, a small island ner Ailigandi",Skin diving,M,13,"FATAL, torso / abdomen severely bitten  ",Y,,1.8 m [6'] shark,,,May
3687,1964-04-07,1964.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,Inshore side of reef near Madang,Fishing,M,,FATAL,Y,,,1964-04-07,1964-04-07,April
3688,1964-03-28,1964.0,Unprovoked,AUSTRALIA,South Australia,Surfers Paradise Beach near Victor Harbour,Surfing,M,19,Left thigh lacerated,N,,1.8 m [6'] shark,,,March
3689,1964-03-28,1964.0,Sea Disaster,PAPUA NEW GUINEA,Central Province,30 miles from Port Moresby,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32,Presumed FATAL,Y,Midnight,,,,March
3690,1964-03-05,1964.0,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Skin diving ,M,38,"Minor injury, abdomen abraded when he collided with the shark",N,16h00,1.7 m [5.5'] shark,1964-03-05,1964-03-05,March
3691,1964-03-01,1964.0,Unprovoked,SENEGAL,Cap Vert Peninsula,"Bel Air, Dakar",Free diving for shell,M,,Thigh & hand bitten,N,,3 m shark,,,March
3692,,1964.0,Provoked,FIJI,,Savuli Reef,Fishing,,,Hooked shark bit boat PROVOKED INCIDENT,N,,"Tiger shark, 3.5 m, 250-lb female",,,
3693,1964-02-14,1964.0,Unprovoked,NEW CALEDONIA,,,Diving for trochus shell,M,15,"FATAL, foot & part of other leg severed  ",Y,,,,,February
3694,1964-02-14,1964.0,Unprovoked,FIJI,Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",Spearfishing,M,17,"FATAL, thigh and abdomen bitten ",Y,10h30,,,,February
3695,1964-02-11,1964.0,Unprovoked,NEW ZEALAND,North Island,"Palliser Bay, Whatarangi (east of Wellington)",preparing to go skin diving,M,,Hand lacerated,N,12h00,,1964-02-11,1964-02-11,February
3696,1964-02-10,1964.0,Unprovoked,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",Spearfishing,M,26,"No injury to diver, shark bit speargun",N,18h30,"White shark, 3 m [10'] ",1964-02-10,1964-02-10,February
3697,1954-02-08,1964.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Body boarding,M,25,Right ankle lacerated,N,08h45,"White shark, 1.5 m [5'] k",1964-02-08,1964-02-08,February
3698,1964-02-05,1964.0,Unprovoked,NEW ZEALAND,North Island,"Hokio Beach, near Levin",Lying in 2 feet of water,M,,Right leg & shoulder lacerated,N,,"""sand shark""",,,February
3699,1964-02-05,1964.0,Unprovoked,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",Swimming,M,19,"FATAL, both legs bitten & right leg severed at knee ",Y,06h45,"White shark, 3 m to 3.7 m [10' to 12'] ",,,February
3700,1964-02-02,1964.0,Invalid,AUSTRALIA,Queensland,Brisbane,Swimming,M,23,Body not recovered  / May have drowned prior to shark involvement,,09h30,Shark involvement prior to death was not confirmed,1964-02-02,1964-02-02,February
3701,1964-02-01,1964.0,Boat,NEW ZEALAND,South Island,"Ngatuka Bay, near Picton",Rowing,,,"No injury to occupants , shark nudged oars",N,12h00,1.8 m [6'] shark,1964-02-01,1964-02-01,February
3702,1964-02-01,1964.0,Unprovoked,USA,Florida,Palm Beach County,Floating,M,12,No injury,N,,Hammerhead shark,,,February
3703,1964-02-01,1964.0,Unprovoked,COSTA RICA,Puntarenas Province,Puntarenas,Swimming,M,,"FATAL, right arm & left thigh bitten ",Y,,,,,February
3704,1964-01-27,1964.0,Unprovoked,FIJI,,70 miles from Suva,Spearfishing,,,FATAL,Y,,,1964-01-27,1964-01-27,January
3705,1964-01-23,1964.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Body surfing,M,39,Heel & ankle bitten,N,16h00,,1964-01-23,1964-01-23,January
3706,1964-01-22,1964.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Standing,M,17,Heel bitten,N,11h00,,1964-01-22,1964-01-22,January
3707,1964-01-21,1964.0,Boat,SOUTH AFRICA,Western Cape Province,20 m from shore at Strand,Shark watching,,,"No injury to occupants, shark holed  boat",N,11h00,"White shark, 3.6 m [11'9""] ",1964-01-21,1964-01-21,January
3708,1964-01-18,1964.0,Unprovoked,AUSTRALIA,Western Australia,Hamelin Bay,Freediving,M,,Arm lacerated,N,,Wobbegong,1964-01-18,1964-01-18,January
3709,1964-01-11,1964.0,Unprovoked,USA,California,Southeast Farallon Island,Spearfishing / Scuba diving (at surface),M,21,Leg & thigh bitten,N,12h00,White shark (tooth fragment recovered),1964-01-11,1964-01-11,January
3710,,1964.0,Unprovoked,PAPUA NEW GUINEA,New Britain,,Fishing,M,,FATAL,Y,,Tiger shark,,,
3711,1964-01-04,1964.0,Unprovoked,FIJI,"Lomaloma, Lau",Tuvuca Isalnd,Swimming,F,20,Deep lacerations to her right thigh,N,15h00,,1964-01-04,1964-01-04,January
3712,1964-01-01,1964.0,Unprovoked,AUSTRALIA,Western Australia,Metro coast,,,,,UNKNOWN,,,,,January
3713,1964-01-01,1964.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Diving for sinkers,M,,Lacerations and puncture wounds in right arm ,N,19h00 / 20h00,2.1 m to 2.4 m  [7' to 8'] shark,,,January
3714,1964-01-01,1964.0,Invalid,NEW ZEALAND,North Island,White Island,Snorkeling,M,,No injury,,07h30,Invalid,,,January
3715,1963-12-29,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shakas Rock",Standing,F,20,"Right hand & foot severed, thigh & buttock lacerated",N,14h00,"Zambesi shark, 1.8 m [6'] ",1963-12-29,1963-12-29,December
3716,1963-12-26,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,Swimming ,M,24,"Lower leg bitten & foot severed, leg surgically amputated below knee",N,15h00,1.8 m [6']  shark,,,December
3717,1963-12-26,1963.0,Unprovoked,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",Sitting on gunwale of boat,M,,"No injury, shark's tail struck his armpit",N,Dawn,"4.3 m [14'], 1000-lb shark",,,December
3718,1963-12-25,1963.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,Swimming,M,18,"FATAL, shoulders, arms, abdomen & foot bitten  ",Y,15h45,,1963-12-25,1963-12-25,December
3719,1963-12-22,1963.0,Invalid,ATLANTIC OCEAN,Between Southampton & Canary Islands,,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",,,Invalid,,,December
3720,1963-12-22,1963.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Next to West Street groyne, Durban",Helping friend land hooked shark,M,13,Foot lacerated  PROVOKED INCIDENT,N,18h30,"Dusky shark, 1 m ",,,December
3721,1963-12-21,1963.0,Provoked,AUSTRALIA,New South Wales,"Woolgoolga, Coffs Harbour",Fishing,M,,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,N,,"Wobbegong shark, 3' ",1963-12-21,1963-12-21,December
3722,1963-12-20,1963.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Hartenbos,Spearfishing,M,,Foot lacerated,N,12h00,"White shark, 1.7 m [5.5']",,,December
3723,1963-12-20,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umvoti,Splashing in surf,M,15,"FATAL, arm severed, leg bitten",Y,12h40,300- to 400-lb Zambesi shark,,,December
3724,1963-12-08,1963.0,Unprovoked,AUSTRALIA,South Australia,55 miles south of Adelaide,Spearfishing,M,23,Torso & hand lacerated,N,12h45,White shark,1963-12-08,1963-12-08,December
3725,1963-12-04,1963.0,Unprovoked,NEW BRITAIN,"South Coast, East New Britain",Pomio,Spearfishing,M,22,"FATAL, leg severely bitten",Y,,Tiger shark,,,December
3726,1963-11-30,1963.0,Unprovoked,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",Treading water while alongside capsized yacht,M,20,Hand & lower leg severely injured,N,13h00,Possibly a broadnose 7-gill shark,,,November
3727,1963-11-30,1963.0,Provoked,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",Fishing / standing in waist deep water,F,18,Left arm lacerated  PROVOKED INCIDENT,N,14h00,Tiger shark,,,November
3728,1963-11-28,1963.0,Unprovoked,FIJI, Lau Province,"Dravuwalu, Totoya Island",Fishing,F,21,Elbow bitten,N,11h00,>1.2 m [4'] tiger shark,1963-11-28,1963-11-28,November
3729,1963-11-25,1963.0,Unprovoked,FIJI,Vita Levu,Rewa River,Spearing fish,M,25,Ankle & foot bitten,N,14h00,,1963-11-25,1963-11-25,November
3730,,1963.0,Unprovoked,ITALY,Sicily,Off Mondello Lighthouse,Spearfishing,M,28,No injury,N,,,,,
3731,1963-11-14,1963.0,Provoked,AUSTRALIA,Queensland,Mermaid Beach,Catching sharks under government contract,M,,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,,"White shark, 15'2"" ",1963-11-14,1963-11-14,November
3732,1963-11-12,1963.0,Provoked,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",Testing anti-shark cage,M,,No injury PROVOKED INCIDENT,N,11h40,"Silky shark, 1.9 m [6.5']",1963-11-12,1963-11-12,November
3733,,1963.0,Unprovoked,PAPUA NEW GUINEA,New Britain,,Wading,M,,Thigh lacerated ,N,,6' shark,,,
3734,1963-11-04,1963.0,Unprovoked,PALAU,Western Caroline Islands,Koror,Fishing,M,35,Left calf lacerated,N,03h00,Dooley believed his Injury was caused by stingray (Dasyatidae family),1963-11-04,1963-11-04,November
3735,1963-10-16,1963.0,Unprovoked,USA,Florida,"Biltmore Beach, near Panama City","Surf fishing, wading ",M,28,"Right thigh &  foot bruised, right calf  lacerated",N,17h30,500-lb shark,1963-10-16,1963-10-16,October
3736,1963-10-15,1963.0,Provoked,NORTH PACIFIC OCEAN,,,Fishing for sharks,M,20,"Right hand lacerated, PROVOKED INCIDENT",N,,,1963-10-15,1963-10-15,October
3737,1963-09-29,1963.0,Unprovoked,CHILE,,"El Panul, 12km south of Coquimbo",Spearfishing / free diving,M,,FATAL,Y,11h00,"White shark, 4 m [13'] rk",1963-09-29,1963-09-29,September
3738,1963-09-26,1963.0,Invalid,USA,Florida,100 miles offshore,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",,25,Numerous dusky sharks & a 3 m to 4.6 m [10' to 15']  tiger sharks tried to overturn raft and one took Mrs. Dumas' body; scavenging by shark/s,,,Invalid,1963-09-26,1963-09-26,September
3739,1963-09-22,1963.0,Unprovoked,SOLOMON ISLANDS,Ysabel Island,Susukana Plantation,Spearing fish,M,30,"FATAL, right thigh, calf & foot bitten ",Y,13h00,5.5 m [18'] shark,1963-09-22,1963-09-22,September
3740,1963-09-13,1963.0,Provoked,AUSTRALIA,New South Wales,Wanda Beach,Surfing,M,18,"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT",N,09h30,1.5 m [5'] shark,1963-09-13,1963-09-13,September
3741,1963-09-10,1963.0,Provoked,USA,Florida,"Snapper Point Jetty, Miami, Dade County","Spearfishing, pulled sharks tail",M,16,Minor injury to left forearm  PROVOKED INCIDENT,N,13h30,"Nurse shark, 1.2 m [4'] ",1963-09-10,1963-09-10,September
3742,1963-08-01,1963.0,Unprovoked,DOMINICAN REPUBLIC,Santo Domingo,Rio Haina Port,"Swimming, when caught in heavy seas",M,23 & 26,"FATAL. Eyewitness said, ""One was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly."" ",Y,,8 sharks,,,August
3743,1963-07-28,1963.0,Unprovoked,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",Spearfishing,M,26,Upper left arm bitten,N,08h00,Tiger shark,1963-07-28,1963-07-28,July
3744,1963-07-15,1963.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Bathing,M,14,"Left forearm bitten, surgically amputated?",N,Late afternoon,,1963-07-15,1963-07-15,July
3745,1963-07-11,1963.0,Provoked,USA,Mississippi,Horn Island,"Fishing, on charter boat Silver Dollar",M,24,"Cuts on right hand, PROVOKED INCIDENT",N,,1.2 m [4'] shark,1963-07-11,1963-07-11,July
3746,,1963.0,Sea Disaster,JAMAICA,,,63' fishing boat Sno' Bay foundered,,,No survivors & a body sighted could not be recovered because of sharks,Y,,,,,
3747,1963-07-01,1963.0,Unprovoked,PANAMA,San Blas coast,"4 miles from Tuwala, near Mulatuppu","Seining for bait, standing in chest-deep water",M,,"FATAL, foot nearly severed ",Y,,,,,July
3748,1963-06-01,1963.0,Unprovoked,GREECE,Thessaly,near Trikerion Island,Swimming,F,42,FATAL,Y,16h30,"White shark, 3 m ",,,June
3749,1963-06-01,1963.0,Provoked,PAPUA NEW GUINEA,Central Province,Near Fisherman's Island,Fishing,M,30,"Hooked shark bit his nose, arm and leg PROVOKED INCIDENT",N,Morning,1.8 m [6'] shark,,,June
3750,1963-05-18,1963.0,Invalid,USA,California,San Mateo County,Swimming,M,,3 lacerations below right knee,,,Shark involvement not confirmed,1963-05-18,1963-05-18,May
3751,1963-05-14,1963.0,Sea Disaster,PHILIPPINES,Luzon Island,100 miles southeast of Manila,"Boat, with 42 passengers onboard, capsized in rough seas",,,"Of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks, and survivors were rescued after spending 3 days in the water.",Y,,,1963-05-14,1963-05-14,May
3752,1963-04-22,1963.0,Provoked,AUSTRALIA,New South Wales,Clarence Head,Fishing,M,,Foot lacerated by netted shark PROVOKED INCIDENT,N,,Grey nurse shark,1963-04-22,1963-04-22,April
3753,1963-04-20,1963.0,Unprovoked,USA,US Virgin Islands,"St. Thomas, Magens Bay",Swimming,M,25,"FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  ",Y,13h50,"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis",1963-04-20,1963-04-20,April
3754,1963-04-17,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,M,15,Buttock bitten,N,12h45,,1963-04-17,1963-04-17,April
3755,1963-04-13,1963.0,Unprovoked,AUSTRALIA,Western Australia,Yallingup,"Surfing on ""chest board"" (boogie board?)",M,25,Arm bitten,N,,1.8 m to 2.4 m  [6' to 8'] shark,1963-04-13,1963-04-13,April
3756,1963-04-12,1963.0,Unprovoked,USA,Hawaii,"Awili, South Kona, Hawai'i",Surfing ,M,15,Left foot & leg bitten,N,14h00,3.7 to 4.5 m [12' to 15'] shark seen in vicinity,1963-04-12,1963-04-12,April
3757,1963-04-08,1963.0,Invalid,USA,Hawaii,"Hapuna Beach, Hawai'i",Washed into sea while picking opihi,M,,"May have drowned prior to shark involvement, partial remains recovered",,,Shark involvement prior to death was not confirmed,1963-04-08,1963-04-08,April
3758,1963-03-30,1963.0,Sea Disaster,SOLOMON ISLANDS,Bougainville (North Solomons),,The 500-ton coastal trader Polurrian foundered ,M,,FATAL,Y,Night,,1963-03-30,1963-03-30,March
3759,1963-02-27,1963.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Namatanai,Swimming,M,,Right shoulder bitten,N,11h00,,1963-02-27,1963-02-27,February
3760,1963-02-24,1963.0,Unprovoked,AUSTRALIA,New South Wales,Wombarra Beach near Austinmeer,Spearfishing,M,18,Left leg lacerated,N,Afternoon,"Bronze whaler shark, 3 m [10'] ",1963-02-24,1963-02-24,February
3761,1963-02-08,1963.0,Unprovoked,FIJI,Lomaiviti  Island Group,"Taibaisa Passage, Gau Island",Spearfishing,M,28,Left arm bitten,N,10h00,"White shark, 2.1 m [7'] ",1963-02-08,1963-02-08,February
3762,1963-02-06,1963.0,Unprovoked,MAURITIUS,Rodrigues,,,M,24,Laceration to right forearm,N,,,1963-02-06,1963-02-06,February
3763,1963-02-04,1963.0,Invalid,USA,Florida,Off Key West,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board",M,,Two shark-bitten lifejackets were recovered leading to speculation that sharks took at least 2 of the 39 missing crewmen,,,Shark involvement prior to death was not confirmed,1963-02-04,1963-02-04,February
3764,1963-01-30,1963.0,Unprovoked,FIJI,,,Freediving,M,41,Hand & arm severely lacerated,N,,,1963-01-30,1963-01-30,January
3765,1963-01-28,1963.0,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbour, Sydney",Wading,F,32,"FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ",Y,13h30,"Tooth fragments of whaler shark were recovered, a bull shark, according to Edwards",1963-01-28,1963-01-28,January
3766,1963-01-26,1963.0,Invalid,AUSTRALIA,New South Wales,Evans Head,Swimming,M,25,"9' shark in area when he disappeared, body not recovered",,16h30,Shark involvement prior to death was not confirmed,1963-01-26,1963-01-26,January
3767,1963-01-22,1963.0,Boat,SOUTH AFRICA,Western Cape Province,False Bay,Fishing ,,,"No injury to occupant, shark leapt inside boat",N,,193-lb shark,1963-01-22,1963-01-22,January
3768,1963-01-14,1963.0,Provoked,NEW ZEALAND,North Island,"Petone Beach, Wellington",Fishing,,14,Minor lacerations to hand and arm after he seized the shark's tail PROVOKED INCIDENT,N,Afternoon,"Grey nurse shark, 1.8 m [6'] ",1963-01-14,1963-01-14,January
3769,1963-01-12,1963.0,Provoked,SOUTH AFRICA,Eastern Cape Province,Humewood,Fishing,M,,Foot bitten by shark hooked & taken on boat  PROVOKED INCIDENT,N,,<1.5 m shark,1963-01-12,1963-01-12,January
3770,1963-01-11,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Peace Cottage, Umdhloti","Free diving, hunting crayfish",M,27,Lacerations & punctures on left  forearm,N,12h15,1 m shark,1963-01-11,1963-01-11,January
3771,1963-01-06,1963.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Selection Reef, Umdhloti",Spearfishing,M,24,Lacerations to right  arm,N,16h00,"Zambesi shark, 2 m [6'9""] ",1963-01-06,1963-01-06,January
3772,1963-01-04,1963.0,Provoked,AUSTRALIA,South Australia,Off Franklin Island between Streaky Bay & Ceduna,Shark fishing,,,No injury to occupants; hooked shark slammed into side of boat PROVOKED INCIDENT,N,,"White shark, 16', 2,312-lb ",1963-01-04,1963-01-04,January
3773,1963-01-01,1963.0,Boat,MOZAMBIQUE,,"Limpopo River, 547 km from the sea",,,,"No injury to occupant. Shark tore chunk from canoe, then bumped 2 other canoes",N,,Zambesi shark,,,January
3774,,1963.0,Unprovoked,FIJI,Vita Levu,Korolevu (South coast between Nadi & Suva),,,,No details,UNKNOWN,,,,,
3775,1963-01-01,1963.0,Unprovoked,SEYCHELLES,,,Fishing for turtles,M,,Fatal,Y,,,,,January
3776,1962-12-30,1962.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,Shark tank at Oceanographic Research Institute,Scuba diving,M,,Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT,N,10h30,"Dusky shark, 1 m ",1962-12-30,1962-12-30,December
3777,1962-12-09,1962.0,Unprovoked,AUSTRALIA,South Australia,Carrickalinga Head,Spearfishing,M,16,"FATAL, right leg bitten thigh to calf  ",Y,14h30,"White shark, 4.3 m [14'] (or bronze whaler)",1962-12-09,1962-12-09,December
3778,1962-12-01,1962.0,Boat,SOUTH AFRICA,Western Cape Province,Swartklip,Fishing,,,"No injury to occupants, shark jumped onboard, knocking 2 anglers onto the deck",N,,"2 m [6'9""], 87.5-kg [193-lb]  shark",,,December
3779,1962-11-29,1962.0,Unprovoked,AUSTRALIA,New South Wales,Sydney,"Spearfishing, Scuba diving",M,26,"No injury, shark bit spear & dragged diver 90'",N,,3 m [10'] shark,1962-11-29,1962-11-29,November
